restaurant_name,categories,address,review_count,rating,station_name,distance
Antica Osteria da Divo,Italian,Via Franciosa 25,67,4.2,Casa dell'Ambiente,1090.0019710467593
L'oro di Siena,"Pizza, Italian, Trattorie",Via Garibaldi 61,9,4.8,Casa dell'Ambiente,295.240620211039
Compagnia dei Vinattieri,Tuscan,"Via delle Terme, 79",24,4.3,Casa dell'Ambiente,781.7017726903798
Taverna di Cecco,Tuscan,Via Cecco Angliolieri 19,52,4.5,Casa dell'Ambiente,765.5980690538091
Salefino Vino e Cucina,"Tuscan, Wine Bars",Via degli Umiliati 1,11,4.5,Casa dell'Ambiente,524.3746913352414
La Chiacchiera,Italian,Via Costa di San Antonio 4,23,4.3,Casa dell'Ambiente,833.5335300820216
Café Nannini,Cafes,Piazza Matteotti 32,14,4.4,Casa dell'Ambiente,686.4185508007778
Gallo Nero,Tuscan,Via del Porrione 65,11,4.4,Casa dell'Ambiente,985.8153859718642
Nannini,"Desserts, Patisserie/Cake Shop, Cafes",Via Banchi di Sopra 24,20,4.2,Casa dell'Ambiente,817.6177840504087
Il Vinaio,"Sandwiches, Tuscan, Fast Food",Via Camollia 167,12,4.3,Casa dell'Ambiente,618.9321674589352
Ristorante San Desiderio,Italian,Piazza L. Bonelli 2,16,3.9,Casa dell'Ambiente,1030.6356331312775
Osteria di Kamollia,Tuscan,Via di Camollia 114,9,4.2,Casa dell'Ambiente,544.3481853380853
Mugolone,"Italian, Gluten-Free",Via dei Pellegrini 8,7,5.0,Casa dell'Ambiente,968.7656222524525
Spadaforte,Pizza,Piazza del Campo 13,11,4.3,Casa dell'Ambiente,1005.4886681592126
Ristorante San Domenico,Tuscan,Via di camporegio 15,7,4.7,Casa dell'Ambiente,866.537722900049
Ravioli Wang,Chinese,Viale Vittorio Emanuele II 38,9,4.8,Casa dell'Ambiente,866.6514237555052
Osteria Nonna Gina,Tuscan,"Via Piano dei Mantellini, 2",38,4.2,Frajese,1155.8224781058368
Da Michele,"Tuscan, Seafood, Pizza",Strada Massetana 64,1,5.0,Frajese,140.39710183759667
Sotto le Fonti,"Pizza, Tuscan",Via Esterna di Fontebranda 114,6,4.5,Frajese,1126.830869064844
Da Michele,Tuscan,Strada Massetana 64,2,3.0,Frajese,276.96413695455834
Biovita,"Cafeteria, Health Markets, Vegetarian",Via Massetana Romana 54,1,5.0,Frajese,937.9382758442633
Nannini,"Cafeteria, Italian, Cupcakes",Via Banchi di Sopra 24,1,2.0,Frajese,420.5235051762208
La Taverna di San Giuseppe,Tuscan,Via Giovanni Dupre 132,169,4.8,Mercato,229.69977052778395
Il Bargello,"Bars, Trattorie, Tuscan",Via di Citta' 53,23,4.5,Mercato,195.14361062995482
La Prosciutteria,"Wine Bars, Tuscan",Via di Pantaneto,34,4.7,Mercato,199.54479012894396
Antica Trattoria Papei,"Tuscan, Trattorie",Via del Mercato 6,35,4.2,Mercato,79.89251787519889
Numero Unico,Italian,Via di Citta 125,17,4.5,Mercato,246.88325946139807
Ri.Me.,Tuscan,Via Giovanni Duprè 90,15,4.3,Mercato,196.51371479233293
Gallo Nero,Tuscan,Via del Porrione 65,11,4.4,Mercato,127.80804201921747
Nannini,"Desserts, Patisserie/Cake Shop, Cafes",Via Banchi di Sopra 24,20,4.2,Mercato,272.1120330166504
Zest,"Italian, Wine Bars",Costa di Sant'antonio 13,26,4.7,Mercato,458.9875111537301
Antica Osteria da Divo,Italian,Via Franciosa 25,67,4.2,Mercato,411.24714047947845
Ostaria dá Cice,Italian,Via San Pietro 32,14,4.0,Mercato,276.18909530271804
Ristorante San Desiderio,Italian,Piazza L. Bonelli 2,16,3.9,Mercato,238.96166103406236
Spadaforte,Pizza,Piazza del Campo 13,11,4.3,Mercato,160.9526155007609
Compagnia dei Vinattieri,Tuscan,"Via delle Terme, 79",24,4.3,Mercato,399.8247199125929
Mugolone,"Italian, Gluten-Free",Via dei Pellegrini 8,7,5.0,Mercato,253.34644403156923
Prètto,"Salumerie, Cheese Shops, Tuscan",Via dei Termini 4,12,4.1,Mercato,284.4397846448097
Osteria Le Logge,Italian,Via del Porrione 33,33,4.1,Mercato,131.6543228192443
Vi Vace,"Pizza, Italian",Via Stalloreggi 64,34,4.3,Mercato,445.9593678427501
Taverna di Cecco,Tuscan,Via Cecco Angliolieri 19,52,4.5,Mercato,310.2762377818051
Il Bandierino,"Bars, Pizza, Tuscan",Piazza Campo 64,26,3.1,Mercato,183.0582647120661
Biovita,"Cafeteria, Health Markets, Vegetarian",Via Massetana Romana 54,1,5.0,Tufi,1226.9015089171305
Il Tocco,"Pizza, Cafes, Tuscan",Via Cassia Sud 122,2,4.0,Tufi,1005.5410567099854
la veranda,Italian,Piazza Calabria,6,4.7,Calamandrei,857.857508181388
Skile' Music Bar,Cafes,Piazza Calabria 18,1,3.0,Calamandrei,850.2699737998013
Hotel Garden,"Venues & Event Spaces, Hotels, Italian",Via Custoza 2,13,2.8,Petriccio,741.1333389088937
la veranda,Italian,Piazza Calabria,6,4.7,Petriccio,1015.9454435508079
Mc Donald's,"Fast Food, Burgers",Via Fiorentina 124,1,2.0,Petriccio,864.6041400557705
Bar Cecco,"Cafes, Fast Food, Pizza, Coffee & Tea",Viale Camillo Benso Conte Di Cavour,3,3.0,Petriccio,738.6663240088411
Fontebecci,"Pizza, Italian",Via Fiorentina 133,2,2.0,Petriccio,820.1977595702692
Skile' Music Bar,Cafes,Piazza Calabria 18,1,3.0,Petriccio,1042.034487595549
