latitude,longitude,number_of_bikes,station_name,restaurant_name,categories,address,review_count,rating,distance
43.32898332166825,11.321913356869572,10,Antiporto,Il masgalano,"Tuscan, pizza",Via camporegio 1,4.0,4.8,1060.5260136820502
43.32898332166825,11.321913356869572,10,Antiporto,Ristorante minohana,Tuscan,Viale vittorio emanuele ii 32,2.0,1.0,152.06299121902896
43.32898332166825,11.321913356869572,10,Antiporto,Ravioli wang,Chinese restaurant,Viale vittorio emanuele ii 38,,,122.0
43.32898332166825,11.321913356869572,10,Antiporto,Turkish pace kebap,Turkish restaurant,Viale vittorio emanuele ii 21,,,237.0
43.32898332166825,11.321913356869572,10,Antiporto,Sushiko,Sushi restaurant,Piazzale carlo rosselli 25,,,199.0
43.32898332166825,11.321913356869572,10,Antiporto,Osteria il vinaio,"Deli, tuscan restaurant",Via camollia 167,,,443.0
43.32898332166825,11.321913356869572,10,Antiporto,Charlie bar,"Wine bar, café, restaurant",Viale camillo benso conte di cavour 58,,,252.0
43.32898332166825,11.321913356869572,10,Antiporto,Osteria di kamollia,"Trattoria, tuscan restaurant",Via camollia 114,,,550.0
43.32898332166825,11.321913356869572,10,Antiporto,Osteria la piana,Trattoria,Via camollia 122,,,500.0
43.32898332166825,11.321913356869572,10,Antiporto,Trattoria fonte giusta,"Trattoria, tuscan restaurant",Via camollia 102,,,564.0
43.32898332166825,11.321913356869572,10,Antiporto,Pasticceria corsini siena,"Bakery, café, restaurant",Viale a. diaz,,,565.0
43.32898332166825,11.321913356869572,10,Antiporto,Enzo,"Hair salon, restaurant",Via camollia 49,,,712.0
43.317187429810794,11.354256229005388,12,Due ponti,Donna ripalta,"Tuscan, seafood, apulian",Viale pietro toselli 41,1.0,4.0,84.06785457395976
43.317187429810794,11.354256229005388,12,Due ponti,Havana club,"Cuban, steakhouses",Piazza maestri del lavoro 27,1.0,5.0,217.53998284698952
43.317187429810794,11.354256229005388,12,Due ponti,Albergo certosa di maggiano,"Hotels & travel, restaurants","Str. di certosa, 82",2.0,5.0,822.5458659038122
43.317187429810794,11.354256229005388,12,Due ponti,Burger king,"Burger joint, fast food restaurant",Viale toselli 118,,,66.0
43.317187429810794,11.354256229005388,12,Due ponti,Donna ripalta,"Bbq joint, italian restaurant",Viale pietro toselli 41,,,109.0
43.317187429810794,11.354256229005388,12,Due ponti,Festival snack bar,Dining and drinking,Viale pietro toselli 120,,,150.0
43.317187429810794,11.354256229005388,12,Due ponti,Penny market,"Dining and drinking, grocery store",Via toselli 11,,,152.0
43.317187429810794,11.354256229005388,12,Due ponti,Rakki sushi,Sushi restaurant,Piazza maestri del lavoro 31,,,163.0
43.317187429810794,11.354256229005388,12,Due ponti,Tabaccheria due ponti,Tobacco store,Strada statale 73 levante 1,,,181.0
43.317187429810794,11.354256229005388,12,Due ponti,Pasticceria dolceria 2 ponti,Pastry shop,Sts 73 levante 17,,,225.0
43.317187429810794,11.354256229005388,12,Due ponti,Pasticceria nocino,Café,Via aretina 13,,,886.0
43.317187429810794,11.354256229005388,12,Due ponti,Dolce & salato,Breakfast spot,Viale europa 2,,,592.0
43.317187429810794,11.354256229005388,12,Due ponti,Bar dell'artigiano,"Bar, café, restaurant",Viale del artigianato 13,,,814.0
43.34175662737405,11.305010457706883,6,Napoli,Fontebecci,"Pizza, italian",Via fiorentina 133,2.0,2.0,36.86679666722005
43.34175662737405,11.305010457706883,6,Napoli,Mc donald's,"Fast food, burgers",Via fiorentina 124,1.0,2.0,135.94427190183262
43.34175662737405,11.305010457706883,6,Napoli,La veranda,Italian,Piazza calabria,6.0,4.7,601.6252259216968
43.34175662737405,11.305010457706883,6,Napoli,Antica trattoria botteganova,"Italian, bars",Strada chiantigiana 29,1.0,5.0,659.4005888623332
43.34175662737405,11.305010457706883,6,Napoli,Skile' music bar,Cafes,Piazza calabria 18,1.0,3.0,605.2291600282962
43.34175662737405,11.305010457706883,6,Napoli,Fontebecci,"Pizzeria, italian restaurant",Via fiorentina 133,,,64.0
43.34175662737405,11.305010457706883,6,Napoli,Pizzeria poppi,Pizzeria,Via fiorentina 105,,,101.0
43.34175662737405,11.305010457706883,6,Napoli,Al fiumino,"Wine bar, buffet, gastropub",Via giovanni paolo ii,,,364.0
43.34175662737405,11.305010457706883,6,Napoli,Ristorante il mestolo,"Italian restaurant, seafood restaurant",Via fiorentina 81,,,226.0
43.34175662737405,11.305010457706883,6,Napoli,Bar acquacalda,"Bar, café, restaurant",Via delle province 14,,,298.0
